name,is_legendary,is_creature,is_instant,is_sorcery,is_land,is_enchantment,is_planeswalker,is_artifact,cmc,first_printing,last_printing,num_printings,is_id_white,is_id_blue,is_id_black,is_id_red,is_id_green,is_standard_legal,is_commander_legal,is_modern_legal,is_pioneer_legal,is_legacy_legal,is_pauper_legal,is_reserved,is_reprint,rarity,edhrec_rank,power,toughness,set_enum,is_masters,is_booster,oracle_len,exp,pred
Lancers en-Kor,0,1,0,0,0,0,0,0,5.0,1998,1998,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,17116.0,3,3,2,0,1.0,127.0,0,0
Void Beckoner,0,1,0,0,0,0,0,0,8.0,2020,2020,2.0,0,0,1,0,0,1,1,1,1,1,0,0,0,3,6127.0,8,8,2,0,1.0,154.0,0,0
Bonus Round,0,0,0,1,0,0,0,0,3.0,2018,2018,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1789.0,-5,-5,7,0,1.0,134.0,1,1
Energy Vortex,0,0,0,0,0,1,0,0,5.0,1996,1996,1.0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,15434.0,-5,-5,2,0,1.0,386.0,0,0
Incorrigible Youths,0,1,0,0,0,0,0,0,5.0,2016,2019,3.0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,5085.0,4,4,2,0,1.0,144.0,0,0
Nix,0,0,1,0,0,0,0,0,1.0,2007,2007,1.0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,14690.0,-5,-5,2,0,1.0,53.0,0,0
Ribbon Snake,0,1,0,0,0,0,0,0,3.0,2000,2000,1.0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,19132.0,2,2,2,0,1.0,94.0,0,0
Prying Questions,0,0,0,1,0,0,0,0,3.0,2016,2016,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,17875.0,-5,-5,2,0,1.0,85.0,0,0
Slippery Bogbonder,0,1,0,0,0,0,0,0,4.0,2020,2020,1.0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,4946.0,3,3,3,0,0.0,191.0,0,0
Phage the Untouchable,1,1,0,0,0,0,0,0,7.0,2003,2014,3.0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,3624.0,4,4,7,0,1.0,281.0,1,1
Messenger's Speed,0,0,0,0,0,1,0,0,1.0,2013,2013,1.0,0,0,0,1,0,0,1,1,1,1,1,0,0,4,7549.0,-5,-5,2,0,1.0,58.0,0,0
Winnow,0,0,1,0,0,0,0,0,2.0,2000,2000,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,16260.0,-5,-5,2,0,1.0,108.0,0,0
Fledgling Griffin,0,1,0,0,0,0,0,0,2.0,2010,2010,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,15307.0,2,2,2,0,1.0,119.0,0,0
Glimmerpost,0,0,0,0,1,0,0,0,0.0,2010,2010,1.0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,7507.0,-5,-5,2,0,1.0,105.0,0,0
Etchings of the Chosen,0,0,0,0,0,1,0,0,3.0,2019,2019,1.0,1,0,1,0,0,0,1,1,0,1,0,0,0,3,1969.0,-5,-5,7,0,1.0,239.0,0,0
"Niambi, Faithful Healer",1,1,0,0,0,0,0,0,3.0,2018,2018,1.0,1,1,0,0,0,0,1,1,1,1,0,0,0,2,11923.0,2,2,2,0,0.0,221.0,0,0
Entrancing Lyre,0,0,0,0,0,0,0,1,3.0,2020,2020,1.0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,12574.0,-5,-5,2,0,1.0,218.0,0,0
Insatiable Gorgers,0,1,0,0,0,0,0,0,4.0,2016,2016,1.0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,6046.0,5,5,2,0,1.0,186.0,0,0
Striking Sliver,0,1,0,0,0,0,0,0,1.0,2013,2013,1.0,0,0,0,1,0,0,1,1,1,1,1,0,0,4,3222.0,1,1,1,0,1.0,112.0,0,0
Cryptoplasm,0,1,0,0,0,0,0,0,3.0,2011,2011,1.0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,4375.0,2,2,2,0,1.0,127.0,1,1
Gorgon's Head,0,0,0,0,0,0,0,1,1.0,2014,2014,1.0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,3254.0,-5,-5,2,0,1.0,43.0,0,0
Saprazzan Cove,0,0,0,0,1,0,0,0,0.0,1999,1999,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,8540.0,-5,-5,2,0,1.0,206.0,0,0
Thriving Moor,0,0,0,0,1,0,0,0,0.0,2020,2020,1.0,0,0,1,0,0,0,1,0,0,1,1,0,0,4,6977.0,-5,-5,7,0,1.0,164.0,0,0
Gruesome Fate,0,0,0,1,0,0,0,0,3.0,2018,2019,3.0,0,0,1,0,0,0,1,1,1,1,1,0,0,4,5280.0,-5,-5,2,0,1.0,57.0,0,0
"Sram, Senior Edificer",1,1,0,0,0,0,0,0,2.0,2017,2017,2.0,1,0,0,0,0,0,1,1,1,1,0,0,0,2,796.0,2,2,2,0,1.0,68.0,1,1
Foster,0,0,0,0,0,1,0,0,4.0,1999,2013,2.0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,9304.0,-5,-5,3,0,0.0,204.0,0,0
Blood Vassal,0,1,0,0,0,0,0,0,3.0,1998,1998,1.0,0,0,1,0,0,0,1,0,0,1,1,0,0,4,10743.0,2,2,2,0,1.0,35.0,0,0
Mysterious Egg,0,1,0,0,0,0,0,0,1.0,2020,2020,2.0,0,0,0,0,0,1,1,1,1,1,1,0,0,4,7866.0,0,0,2,0,1.0,58.0,0,0
Galvanic Key,0,0,0,0,0,0,0,1,2.0,2003,2003,1.0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,11921.0,-5,-5,2,0,1.0,38.0,0,0
Elsha of the Infinite,1,1,0,0,0,0,0,0,5.0,2019,2019,1.0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,2038.0,3,3,3,0,0.0,279.0,0,1
Savage Alliance,0,0,1,0,0,0,0,0,3.0,2016,2016,1.0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,11118.0,-5,-5,2,0,1.0,284.0,0,0
Coastal Hornclaw,0,1,0,0,0,0,0,0,5.0,2000,2003,2.0,0,1,0,0,0,0,1,1,0,1,1,0,1,4,20091.0,3,3,1,0,1.0,66.0,0,0
Anointed Deacon,0,1,0,0,0,0,0,0,5.0,2017,2017,1.0,0,0,1,0,0,0,1,1,1,1,1,0,0,4,12713.0,3,3,2,0,1.0,97.0,0,0
Illness in the Ranks,0,0,0,0,0,1,0,0,1.0,2013,2013,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,7439.0,-5,-5,2,0,1.0,26.0,0,0
Endangered Armodon,0,1,0,0,0,0,0,0,4.0,1998,1998,1.0,0,0,0,0,1,0,1,0,0,1,1,0,1,4,18742.0,4,4,4,1,1.0,83.0,0,0
Riddlekeeper,0,1,0,0,0,0,0,0,3.0,2011,2018,2.0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,5004.0,1,1,3,0,0.0,106.0,1,0
Skyreach Manta,0,1,0,0,0,0,0,1,5.0,2004,2015,3.0,0,0,0,0,0,0,1,1,0,1,1,0,1,4,15550.0,0,0,4,1,1.0,113.0,0,0
Field Surgeon,0,1,0,0,0,0,0,0,2.0,1999,1999,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,14672.0,1,1,2,0,1.0,113.0,0,0
Confounding Conundrum,0,0,0,0,0,1,0,0,2.0,2020,2020,4.0,0,1,0,0,0,1,1,1,1,1,0,0,0,2,16849.0,-5,-5,2,0,1.0,269.0,1,0
Songstitcher,0,1,0,0,0,0,0,0,1.0,1998,1999,2.0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,15853.0,1,1,2,0,1.0,105.0,0,0
Luminesce,0,0,1,0,0,0,0,0,1.0,2006,2007,2.0,1,0,0,0,0,0,1,1,0,1,0,0,1,3,19440.0,-5,-5,1,0,1.0,75.0,0,0
Descendant of Soramaro,0,1,0,0,0,0,0,0,4.0,2005,2005,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,9444.0,2,2,2,0,1.0,126.0,0,0
Skyshroud Blessing,0,0,1,0,0,0,0,0,2.0,2001,2001,1.0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,14770.0,-5,-5,2,0,1.0,105.0,0,0
Griffin Protector,0,1,0,0,0,0,0,0,4.0,2012,2019,3.0,1,0,0,0,0,0,1,1,1,1,1,0,1,4,12874.0,2,2,1,0,1.0,123.0,0,0
Rings of Brighthearth,0,0,0,0,0,0,0,1,3.0,2007,2016,2.0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,945.0,-5,-5,2,0,1.0,149.0,1,1
Snow-Covered Swamp,0,0,0,0,1,0,0,0,0.0,1995,2019,4.0,0,0,1,0,0,0,1,1,0,1,1,0,1,4,20000.0,-5,-5,4,1,1.0,15.0,0,0
Prismwake Merrow,0,1,0,0,0,0,0,0,3.0,2008,2008,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,17721.0,2,2,2,0,1.0,130.0,0,0
Brain Gorgers,0,1,0,0,0,0,0,0,4.0,2007,2007,1.0,0,0,1,0,0,0,1,1,0,1,1,0,0,4,6470.0,4,4,2,0,1.0,242.0,0,0
Overwhelming Splendor,0,0,0,0,0,1,0,0,8.0,2017,2017,2.0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,2691.0,-5,-5,2,0,1.0,199.0,1,1
Sentinel Sliver,0,1,0,0,0,0,0,0,2.0,2013,2013,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,2880.0,2,2,1,0,1.0,83.0,0,0
Chandra's Flame Wave,0,0,0,1,0,0,0,0,5.0,2019,2019,1.0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,11575.0,-5,-5,1,0,0.0,256.0,0,0
Crumbling Colossus,0,1,0,0,0,0,0,1,5.0,2011,2011,1.0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,17318.0,7,7,1,0,1.0,163.0,0,0
Saddled Rimestag,0,1,0,0,0,0,0,0,2.0,2019,2019,1.0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,14164.0,2,2,7,0,1.0,115.0,0,0
Rootwalla,0,1,0,0,0,0,0,0,3.0,1997,2017,5.0,0,0,0,0,1,0,1,1,1,1,1,0,1,4,18108.0,2,2,5,0,0.0,90.0,0,0
Looming Altisaur,0,1,0,0,0,0,0,0,4.0,2017,2019,2.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,8946.0,1,1,2,0,1.0,0.0,0,0
Ornery Kudu,0,1,0,0,0,0,0,0,3.0,2017,2017,1.0,0,0,0,0,1,0,1,1,1,1,1,0,0,4,13668.0,3,3,2,0,1.0,92.0,0,0
Cylian Elf,0,1,0,0,0,0,0,0,2.0,2008,2008,1.0,0,0,0,0,1,0,1,1,0,1,1,0,0,4,17073.0,2,2,2,0,1.0,0.0,0,0
Cathedral of War,0,0,0,0,1,0,0,0,0.0,2012,2020,3.0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2681.0,-5,-5,4,1,1.0,162.0,1,1
Mystic Gate,0,0,0,0,1,0,0,0,0.0,2008,2020,3.0,1,1,0,0,0,0,1,1,0,1,0,0,1,2,1179.0,-5,-5,4,1,1.0,56.0,1,1
Silverclad Ferocidons,0,1,0,0,0,0,0,0,7.0,2018,2018,3.0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,2001.0,8,8,2,0,1.0,94.0,1,0
Daxos the Returned,1,1,0,0,0,0,0,0,3.0,2015,2015,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,4125.0,2,2,3,0,0.0,248.0,1,1
Tuktuk Scrapper,0,1,0,0,0,0,0,0,4.0,2010,2010,1.0,0,0,0,1,0,0,1,1,0,1,0,0,0,3,4146.0,2,2,2,0,1.0,269.0,0,0
Barkhide Mauler,0,1,0,0,0,0,0,0,5.0,2002,2002,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,13222.0,4,4,2,0,1.0,50.0,0,0
Dusk Urchins,0,1,0,0,0,0,0,0,3.0,2008,2008,1.0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,4521.0,4,4,2,0,1.0,133.0,1,1
Mardu Strike Leader,0,1,0,0,0,0,0,0,3.0,2015,2015,2.0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,5207.0,3,3,2,0,1.0,262.0,0,0
Drelnoch,0,1,0,0,0,0,0,0,5.0,2006,2006,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,15730.0,3,3,2,0,1.0,58.0,0,0
Mantle of the Wolf,0,0,0,0,0,1,0,0,4.0,2020,2020,4.0,0,0,0,0,1,1,1,1,1,1,0,0,0,2,8620.0,-5,-5,2,0,1.0,160.0,0,0
Talruum Champion,0,1,0,0,0,0,0,0,5.0,1997,1997,1.0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,15861.0,3,3,2,0,1.0,131.0,0,0
Nihilistic Glee,0,0,0,0,0,1,0,0,4.0,2006,2006,1.0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,11824.0,-5,-5,2,0,1.0,171.0,0,0
Sedraxis Alchemist,0,1,0,0,0,0,0,0,3.0,2009,2009,1.0,0,0,1,0,0,0,1,1,0,1,1,0,0,4,7478.0,2,2,2,0,1.0,133.0,0,0
Coax from the Blind Eternities,0,0,0,1,0,0,0,0,3.0,2016,2016,2.0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,11989.0,-5,-5,2,0,1.0,141.0,0,0
Helvault,1,0,0,0,0,0,0,1,3.0,2012,2016,2.0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,9411.0,-5,-5,2,0,1.0,235.0,0,0
Jinxed Choker,0,0,0,0,0,0,0,1,3.0,2003,2003,1.0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,7546.0,-5,-5,2,0,1.0,293.0,0,1
Thriving Rhino,0,1,0,0,0,0,0,0,3.0,2016,2016,1.0,0,0,0,0,1,0,1,1,1,1,1,0,0,4,12187.0,2,2,2,0,1.0,172.0,0,0
Spell Rupture,0,0,1,0,0,0,0,0,2.0,2013,2013,1.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,9663.0,-5,-5,2,0,1.0,111.0,0,0
Wasp of the Bitter End,0,1,0,0,0,0,0,0,2.0,2017,2017,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,14316.0,2,2,2,0,0.0,130.0,0,0
"Polukranos, Unchained",1,1,0,0,0,0,0,0,4.0,2020,2020,4.0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,4197.0,0,0,2,0,1.0,372.0,1,1
Sluiceway Scorpion,0,1,0,0,0,0,0,0,4.0,2012,2012,1.0,0,0,1,0,1,0,1,1,1,1,1,0,0,4,12885.0,2,2,2,0,1.0,258.0,0,0
Vizzerdrix,0,1,0,0,0,0,0,0,7.0,1999,2005,5.0,0,1,0,0,0,0,1,1,0,1,0,0,1,2,17281.0,6,6,1,0,0.0,0.0,0,0
Canyon Slough,0,0,0,0,1,0,0,0,0.0,2017,2017,2.0,0,0,1,1,0,0,1,1,1,1,0,0,0,2,599.0,-5,-5,2,0,1.0,118.0,1,1
"Kopala, Warden of Waves",1,1,0,0,0,0,0,0,3.0,2017,2017,3.0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,3518.0,2,2,2,0,1.0,178.0,0,0
Mark of Fury,0,0,0,0,0,1,0,0,1.0,1999,1999,1.0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,10392.0,-5,-5,2,0,1.0,121.0,0,0
Bubbling Cauldron,0,0,0,0,0,0,0,1,2.0,2013,2020,3.0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,9007.0,-5,-5,7,0,1.0,176.0,0,0
Magma Giant,0,1,0,0,0,0,0,0,7.0,1998,2018,4.0,0,0,0,1,0,0,1,1,0,1,0,0,1,2,9316.0,5,5,3,0,0.0,92.0,0,0
Hopeful Eidolon,0,1,0,0,0,1,0,0,1.0,2013,2013,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,6979.0,1,1,2,0,1.0,293.0,0,0
Tower Defense,0,0,1,0,0,0,0,0,2.0,2013,2019,2.0,0,0,0,0,1,0,1,1,1,1,0,0,1,3,2711.0,-5,-5,2,0,1.0,65.0,0,0
Davriel's Shadowfugue,0,0,0,1,0,0,0,0,4.0,2019,2019,1.0,0,0,1,0,0,0,1,1,1,1,1,0,0,4,11967.0,-5,-5,2,0,1.0,50.0,0,0
Eldrazi Aggressor,0,1,0,0,0,0,0,0,3.0,2016,2016,1.0,0,0,0,1,0,0,1,1,1,1,1,0,0,4,16563.0,2,2,2,0,1.0,111.0,0,0
Everdream,0,0,1,0,0,0,0,0,2.0,2019,2019,2.0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,9811.0,-5,-5,7,0,1.0,208.0,0,0
Rakdos's Return,0,0,0,1,0,0,0,0,2.0,2012,2019,2.0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,4010.0,-5,-5,2,0,1.0,130.0,0,0
Entourage of Trest,0,1,0,0,0,0,0,0,5.0,2016,2016,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,7971.0,4,4,7,0,1.0,166.0,0,0
Floodbringer,0,1,0,0,0,0,0,0,2.0,2005,2005,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,9711.0,1,1,2,0,1.0,75.0,0,0
"Ulamog, the Infinite Gyre",1,1,0,0,0,0,0,0,11.0,2010,2018,5.0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,571.0,10,10,4,1,1.0,284.0,1,1
Dragonlord Ojutai,1,1,0,0,0,0,0,0,5.0,2015,2019,3.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,2535.0,5,5,2,0,1.0,256.0,1,1
Sylvan Offering,0,0,0,1,0,0,0,0,1.0,2014,2017,2.0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,2576.0,-5,-5,3,0,0.0,182.0,1,1
Gravity Negator,0,1,0,0,0,0,0,0,4.0,2016,2016,1.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,12224.0,2,2,2,0,1.0,190.0,0,0
Scavenged Weaponry,0,0,0,0,0,1,0,0,3.0,2000,2000,1.0,0,0,1,0,0,0,1,0,0,1,1,0,0,4,19488.0,-5,-5,2,0,1.0,108.0,0,0
Rally of Wings,0,0,1,0,0,0,0,0,2.0,2019,2019,1.0,1,0,0,0,0,0,1,1,1,1,0,0,0,3,6818.0,-5,-5,2,0,1.0,95.0,0,0
Ghostly Visit,0,0,0,1,0,0,0,0,3.0,1999,1999,1.0,0,0,1,0,0,0,1,0,0,1,1,0,1,4,18062.0,-5,-5,4,1,1.0,33.0,0,0
Kami of the Hunt,0,1,0,0,0,0,0,0,3.0,2004,2004,1.0,0,0,0,0,1,0,1,1,0,1,1,0,0,4,15100.0,2,2,2,0,1.0,90.0,0,0
Screeching Drake,0,1,0,0,0,0,0,0,4.0,1998,1998,1.0,0,1,0,0,0,0,1,0,0,1,1,0,1,4,19492.0,2,2,4,1,1.0,86.0,0,0
Kor Line-Slinger,0,1,0,0,0,0,0,0,2.0,2010,2010,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,17853.0,0,0,2,0,1.0,46.0,0,0
Songs of the Damned,0,0,1,0,0,0,0,0,1.0,1995,2018,2.0,0,0,1,0,0,0,1,0,0,1,1,0,1,3,3361.0,-5,-5,4,1,1.0,49.0,0,0
Geode Golem,0,1,0,0,0,0,0,1,5.0,2018,2018,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2474.0,5,5,3,0,0.0,179.0,0,0
Mirror Mockery,0,0,0,0,0,1,0,0,2.0,2015,2015,1.0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,5786.0,-5,-5,2,0,1.0,143.0,0,0
Zodiac Rooster,0,1,0,0,0,0,0,0,2.0,1999,1999,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,17780.0,2,2,5,0,1.0,90.0,1,1
Greenwarden of Murasa,0,1,0,0,0,0,0,0,6.0,2015,2015,3.0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,900.0,5,5,2,0,1.0,226.0,0,1
Flinthoof Boar,0,1,0,0,0,0,0,0,2.0,2012,2016,2.0,0,0,0,1,1,0,1,1,0,1,0,0,1,3,13190.0,2,2,4,1,1.0,146.0,0,0
Roil Spout,0,0,0,1,0,0,0,0,3.0,2015,2015,1.0,1,1,0,0,0,0,1,1,1,1,0,0,0,3,9944.0,-5,-5,2,0,1.0,236.0,0,0
Intrusive Packbeast,0,1,0,0,0,0,0,0,5.0,2018,2019,2.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,16879.0,3,3,2,0,1.0,113.0,0,0
Pixie Queen,0,1,0,0,0,0,0,0,4.0,1994,1994,1.0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,18959.0,1,1,2,0,1.0,70.0,1,1
Supply Caravan,0,1,0,0,0,0,0,0,5.0,2017,2017,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,17647.0,3,3,2,0,1.0,135.0,0,0
Imperious Oligarch,0,1,0,0,0,0,0,0,2.0,2019,2019,1.0,1,0,1,0,0,0,1,1,1,1,1,0,0,4,4859.0,2,2,2,0,1.0,112.0,0,0
Mercurial Geists,0,1,0,0,0,0,0,0,4.0,2016,2019,2.0,0,1,0,1,0,0,1,1,1,1,0,0,0,3,10633.0,1,1,2,0,1.0,100.0,0,0
Inkfathom Divers,0,1,0,0,0,0,0,0,5.0,2007,2019,3.0,0,1,0,0,0,0,1,1,0,1,1,0,1,4,12351.0,3,3,6,0,0.0,214.0,0,0
Evasive Action,0,0,1,0,0,0,0,0,2.0,2001,2010,2.0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,10110.0,-5,-5,6,0,0.0,110.0,0,0
Weaselback Redcap,0,1,0,0,0,0,0,0,1.0,2019,2019,1.0,0,0,0,1,0,1,1,1,1,1,1,0,0,4,11883.0,1,1,2,0,1.0,55.0,0,0
Bloodrite Invoker,0,1,0,0,0,0,0,0,3.0,2010,2019,3.0,0,0,1,0,0,0,1,1,0,1,1,0,1,4,13605.0,3,3,6,0,0.0,52.0,0,0
"Edric, Spymaster of Trest",1,1,0,0,0,0,0,0,3.0,2011,2016,4.0,0,1,0,0,1,0,1,0,0,1,0,0,1,2,879.0,2,2,3,0,0.0,97.0,1,1
Mask of Riddles,0,0,0,0,0,0,0,1,2.0,2009,2009,1.0,0,1,1,0,0,0,1,1,0,1,0,0,0,3,5739.0,-5,-5,2,0,1.0,193.0,0,0
Harm's Way,0,0,1,0,0,0,0,0,1.0,2009,2011,2.0,1,0,0,0,0,0,1,1,0,1,0,0,1,3,14916.0,-5,-5,6,0,0.0,136.0,0,0
"Urborg, Tomb of Yawgmoth",1,0,0,0,1,0,0,0,0.0,2007,2018,5.0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,48.0,-5,-5,4,1,1.0,57.0,1,1
Enchantress's Presence,0,0,0,0,0,1,0,0,3.0,2002,2018,2.0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,933.0,-5,-5,3,0,0.0,52.0,1,1
Flaming Sword,0,0,0,0,0,1,0,0,2.0,1999,1999,1.0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,15520.0,-5,-5,2,0,1.0,74.0,0,0
Spellbook,0,0,0,0,0,0,0,1,0.0,1998,2009,6.0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,885.0,-5,-5,1,0,1.0,30.0,1,1
Goblin Gardener,0,1,0,0,0,0,0,0,4.0,1999,2001,2.0,0,0,0,1,0,0,1,0,0,1,1,0,1,4,9727.0,2,2,1,0,1.0,47.0,0,0
Rolling Stones,0,0,0,0,0,1,0,0,2.0,1998,2003,3.0,1,0,0,0,0,0,1,1,0,1,0,0,1,2,6298.0,-5,-5,1,0,1.0,62.0,0,0
Spire Garden,0,0,0,0,1,0,0,0,0.0,2018,2020,2.0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,499.0,-5,-5,7,0,1.0,102.0,1,1
"Alexi, Zephyr Mage",1,1,0,0,0,0,0,0,5.0,2000,2000,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,10886.0,3,3,2,0,1.0,81.0,0,0
Eyes Everywhere,0,0,0,0,0,1,0,0,3.0,2019,2019,1.0,0,1,0,0,0,0,1,1,1,1,0,0,0,3,7019.0,-5,-5,2,0,1.0,176.0,0,0
Crab Umbra,0,0,0,0,0,1,0,0,1.0,2010,2010,1.0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,6301.0,-5,-5,2,0,1.0,163.0,0,0
"Selvala, Heart of the Wilds",1,1,0,0,0,0,0,0,3.0,2016,2020,3.0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,986.0,2,2,7,0,1.0,248.0,1,1
Silverclaw Griffin,0,1,0,0,0,0,0,0,5.0,2012,2012,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,13943.0,3,3,2,0,1.0,20.0,0,0
Veteran Explorer,0,1,0,0,0,0,0,0,1.0,1997,2020,5.0,0,0,0,0,1,0,1,0,0,1,0,0,1,3,2335.0,1,1,4,1,1.0,196.0,0,1
Charm Peddler,0,1,0,0,0,0,0,0,1.0,1999,1999,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,17925.0,1,1,2,0,1.0,132.0,0,0
Reverse Polarity,0,0,1,0,0,0,0,0,2.0,1994,1994,4.0,1,0,0,0,0,0,1,0,0,1,1,0,1,3,19294.0,-5,-5,1,0,1.0,88.0,0,0
Breathstealer's Crypt,0,0,0,0,0,1,0,0,4.0,1997,1997,1.0,0,1,1,0,0,0,1,0,0,1,0,1,0,2,6624.0,-5,-5,2,0,1.0,143.0,1,1
March of the Multitudes,0,0,1,0,0,0,0,0,3.0,2018,2018,1.0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,2773.0,-5,-5,2,0,1.0,206.0,1,1
Ironclaw Curse,0,0,0,0,0,1,0,0,1.0,1995,1997,2.0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,18485.0,-5,-5,1,0,1.0,160.0,0,0
Brackwater Elemental,0,1,0,0,0,0,0,0,3.0,2009,2011,2.0,0,1,0,0,0,0,1,1,0,1,1,0,1,4,19562.0,4,4,6,0,0.0,306.0,0,0
Green Mana Battery,0,0,0,0,0,0,0,1,4.0,1994,1995,4.0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,15984.0,-5,-5,1,0,1.0,198.0,0,0
Aid the Fallen,0,0,0,1,0,0,0,0,2.0,2019,2019,2.0,0,0,1,0,0,0,1,1,1,1,1,0,0,4,6242.0,-5,-5,2,0,1.0,152.0,0,0
Grasping Giant,0,1,0,0,0,0,0,0,6.0,2020,2020,1.0,1,0,0,0,0,1,1,1,1,1,0,0,0,2,13539.0,5,5,2,0,0.0,129.0,0,0
Fleetfoot Panther,0,1,0,0,0,0,0,0,3.0,2001,2011,2.0,1,0,0,0,1,0,1,0,0,1,0,0,1,3,6456.0,3,3,6,0,0.0,118.0,0,0
Fool's Tome,0,0,0,0,0,0,0,1,4.0,1997,1997,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,16679.0,-5,-5,2,0,1.0,79.0,0,0
Kozilek's Return,0,0,1,0,0,0,0,0,3.0,2016,2016,2.0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,7893.0,-5,-5,2,0,1.0,278.0,1,0
Daru Cavalier,0,1,0,0,0,0,0,0,4.0,2002,2002,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,19724.0,2,2,2,0,1.0,186.0,0,0
